campaign_id,campaign_name,platform,campaign_type,impressions,clicks,conversions,ad_spend,revenue,ctr_percent,conversion_rate_percent,roi_percent,campaign_date
1,Campaign_1,YouTube,Awareness,345243,15592,254,18667.99,42059.63,4.52,1.63,125.3,2024-05-24
2,Campaign_2,Instagram,Sales,364785,72482,5747,14967.07,20005.97,19.87,7.93,33.67,2025-05-09
3,Campaign_3,Twitter,Traffic,131981,17559,484,14250.5,60976.24,13.3,2.76,327.89,2025-05-19
4,Campaign_4,YouTube,Traffic,125574,15719,4877,7315.67,36124.72,12.52,31.03,393.8,2025-07-16
5,Campaign_5,Instagram,Awareness,188389,19210,2597,5775.19,25890.32,10.2,13.52,348.3,2024-10-24
6,Campaign_6,Instagram,Traffic,209191,7338,1520,21263.61,80717.13,3.51,20.71,279.6,2025-02-26
7,Campaign_7,Twitter,Engagement,291137,9180,3150,2430.6,5980.9,3.15,34.31,146.07,2024-07-13
8,Campaign_8,Facebook,Awareness,312698,13601,5821,2204.1,8912.13,4.35,42.8,304.34,2026-05-01
9,Campaign_9,Twitter,Engagement,458432,31512,14246,2974.54,7124.88,6.87,45.21,139.53,2025-10-27
10,Campaign_10,Twitter,Awareness,95277,13130,2960,5632.92,13226.12,13.78,22.54,134.8,2025-10-26
11,Campaign_11,TikTok,Traffic,329360,42613,5657,13586.43,30605.97,12.94,13.28,125.27,2025-03-05
12,Campaign_12,Instagram,Sales,151530,21971,9175,5880.57,15256.64,14.5,41.76,159.44,2025-09-14
13,Campaign_13,LinkedIn,Engagement,440861,5207,1342,10328.54,15333.86,1.18,25.77,48.46,2025-06-03
14,Campaign_14,TikTok,Sales,121477,22477,8229,10192.98,52316.03,18.5,36.61,413.26,2026-02-09
15,Campaign_15,Twitter,Traffic,148873,5575,1060,18752.23,65962.89,3.74,19.01,251.76,2024-10-13
16,Campaign_16,YouTube,Traffic,480717,77484,26225,9368.91,51421.27,16.12,33.85,448.85,2024-10-22
17,Campaign_17,Twitter,Traffic,57662,1771,162,4244.61,8013.5,3.07,9.15,88.79,2024-07-18
18,Campaign_18,LinkedIn,Engagement,322690,5163,1626,9849.67,54008.91,1.6,31.49,448.33,2026-01-16
19,Campaign_19,LinkedIn,Engagement,300049,57412,426,17166.94,29056.29,19.13,0.74,69.26,2025-02-26
20,Campaign_20,Instagram,Engagement,412967,45587,3705,7690.75,14459.21,11.04,8.13,88.01,2026-02-11
21,Campaign_21,Twitter,Engagement,272451,50935,5904,12938.2,21445.93,18.7,11.59,65.76,2026-02-28
22,Campaign_22,YouTube,Awareness,451277,84748,33320,15419.77,28637.73,18.78,39.32,85.72,2025-11-14
23,Campaign_23,Facebook,Sales,324019,22243,8055,977.18,5076.57,6.86,36.21,419.51,2025-11-15
24,Campaign_24,TikTok,Awareness,40369,2973,1211,23700.26,37169.35,7.36,40.73,56.83,2024-11-09
25,Campaign_25,LinkedIn,Sales,408774,70822,8291,3645.59,11825.25,17.33,11.71,224.37,2024-08-14
26,Campaign_26,Twitter,Sales,148966,18290,6982,24126.89,125322.98,12.28,38.17,419.43,2025-06-21
27,Campaign_27,TikTok,Traffic,383790,41857,13124,24881.16,99387.19,10.91,31.35,299.45,2025-08-22
28,Campaign_28,LinkedIn,Sales,73441,5061,970,2068.63,2669.46,6.89,19.17,29.04,2025-09-22
29,Campaign_29,YouTube,Awareness,318512,15432,108,2239.33,8764.16,4.85,0.7,291.37,2026-01-27
30,Campaign_30,Twitter,Traffic,484700,5117,1403,2236.01,4971.59,1.06,27.42,122.34,2024-08-30
31,Campaign_31,LinkedIn,Traffic,122321,18669,2217,18222.14,91005.87,15.26,11.88,399.42,2024-08-23
32,Campaign_32,Instagram,Traffic,137400,26710,7799,20283.68,40947.94,19.44,29.2,101.88,2025-03-24
