influencer_id,influencer_name,platform,category,followers,engagement_rate_percent,avg_likes,avg_comments,country,brand_collaborations
1,Barbara Russell,TikTok,Technology,1930951,13.15,39094,7414,UK,66
2,Thomas King,TikTok,Gaming,1401883,5.85,44546,4245,USA,15
3,Joshua Garcia,Facebook,Fashion,2360553,2.17,22986,3480,Canada,75
4,Abigail Rodriguez,Twitter,Beauty,331086,14.18,24111,1542,USA,62
5,Maria Carter,LinkedIn,Beauty,3847897,14.12,15158,7296,Canada,193
6,Danny Jimenez,Twitter,Travel,3318440,11.38,29413,6234,Australia,30
7,Brandon Owens,Instagram,Beauty,3161190,11.74,34846,5266,UK,128
8,Seth Reid,TikTok,Technology,742583,12.32,39337,780,UK,134
9,Andrew Mccormick,TikTok,Travel,2503109,9.62,33466,1311,UK,70
10,Dawn Hendrix,LinkedIn,Fashion,4935437,9.57,13956,5548,Australia,103
11,Gregory Evans,Instagram,Gaming,1434742,4.97,23397,7297,UK,68
12,Omar Branch,LinkedIn,Travel,2775121,1.38,36658,7175,USA,47
13,Daniel Bishop,YouTube,Technology,2168927,6.23,9626,7251,Australia,28
14,Elizabeth Mckinney,Instagram,Gaming,816131,13.62,3819,8508,UK,178
15,Katrina Miranda,Facebook,Food,595083,14.47,44495,6971,Australia,157
16,Laura Rodriguez,Twitter,Technology,4647475,10.36,39189,3663,USA,20
17,Shane Franklin,LinkedIn,Food,2037442,6.0,7819,8213,USA,14
18,Alexander Coleman,YouTube,Gaming,3809090,11.12,18122,8734,India,195
19,Isabella Ryan,YouTube,Gaming,335564,13.39,27532,4356,USA,89
20,Kristin Alvarez,YouTube,Fashion,4156213,10.28,22051,5457,UK,140
21,Jesse Espinoza,LinkedIn,Beauty,1376441,12.52,31837,8999,India,184
22,David Hayes,Facebook,Food,1183007,14.56,44866,4204,Australia,187
23,Jessica Paul,Facebook,Food,4529442,4.92,422,4848,USA,150
24,Jacob Watkins,Instagram,Food,2080591,14.1,47355,8992,UK,175
25,Andrea Caldwell,YouTube,Fashion,3980888,14.81,17286,7061,India,118
26,Carol Raymond,LinkedIn,Fashion,1537470,7.99,17888,5658,USA,160
27,Stephen Gallagher,TikTok,Travel,1518744,6.93,33093,8514,Australia,117
28,Michael Williams,LinkedIn,Food,4947596,14.9,30943,5437,UK,72
29,Eric Riley,TikTok,Beauty,2764118,8.18,19427,1154,USA,72
30,Antonio Diaz,LinkedIn,Fitness,36831,2.62,47419,9543,USA,107
31,Ronald Bailey,LinkedIn,Food,28355,10.68,12027,7453,UK,170
32,Toni Bailey,LinkedIn,Fitness,537891,14.83,16560,6194,USA,133
33,Sarah Mitchell,Facebook,Beauty,229299,2.55,34702,4711,UK,123
34,Amanda Lopez,Twitter,Technology,2034408,6.91,26781,1966,India,93
35,David Yang,TikTok,Fitness,3436885,8.76,46319,2187,USA,16
36,Jacqueline Cross,TikTok,Technology,3904504,1.4,40292,4154,Australia,8
37,Stephanie Graham,Instagram,Food,2652410,14.55,2401,2171,USA,116
38,Danielle Crane,Instagram,Fitness,2513464,4.38,28935,2907,Canada,18
39,Jennifer Reyes,Twitter,Fitness,4504807,6.79,18729,4906,Canada,91
40,Dale Morris,Instagram,Beauty,3510540,3.63,6990,2150,India,54
41,Gavin Washington,TikTok,Travel,4561100,10.78,12290,9155,Canada,139
42,Maurice Hanson,TikTok,Fashion,399342,13.69,21002,4915,UK,160
43,Edward Wade,TikTok,Food,4284701,5.64,15281,5814,Canada,84
44,Brett Herrera,Instagram,Fitness,2487817,2.12,41287,9047,Australia,46
45,Heather Tran,YouTube,Gaming,2841286,2.95,34395,8872,Canada,111
46,Jeanette Mueller,Facebook,Beauty,4899944,1.58,40303,4484,Canada,151
47,Gabriela Chan,YouTube,Travel,4413174,11.66,32966,2581,Australia,74
48,Mario Thomas,Facebook,Fitness,3767548,13.37,3013,3993,India,172
49,Nicole Hale,YouTube,Beauty,1848333,12.76,40528,8873,Australia,118
